Project,Name,Current Amount,Amount (USD),Financer ID,Currency,Project Financial Type,id_norm
P160320,The Forest Carbon Partnership Facility â€“ Carbon Fund,55000000.0,55000000.0,FCPC,USD,Trust Funds,P160320
P161877,IDA Credit,427980000.0,427980000.0,IDA,USD,World Bank Group,P161877
P161877,IDA Grant,72020000.0,72020000.0,IDAT,USD,World Bank Group,P161877
P168756,Global Financing Facility,10000000.0,10000000.0,GFF,USD,Trust Funds,P168756
P168756,IDA Credit,246000000.0,246000000.0,IDA,USD,World Bank Group,P168756
P168756,IDA Grant,246000000.0,246000000.0,IDAT,USD,World Bank Group,P168756
P169021,Global Facility for Disaster Reduction and Recovery,20000000.0,20000000.0,GFDR,USD,Trust Funds,P169021
P169021,IDA Credit,220000000.0,220000000.0,IDA,USD,World Bank Group,P169021
P169021,IDA Grant,220000000.0,220000000.0,IDAT,USD,World Bank Group,P169021
P170835,3A Africa REDD+ Program,5000000.0,5000000.0,REDD,USD,Trust Funds,P170835
P171141,IDA Credit,250000000.0,250000000.0,IDA,USD,World Bank Group,P171141
P171141,IDA Grant,250000000.0,250000000.0,IDAT,USD,World Bank Group,P171141
P171762,IDA Credit,125000000.0,125000000.0,IDA,USD,World Bank Group,P171762
P171762,IDA Grant,125000000.0,125000000.0,IDAT,USD,World Bank Group,P171762
P172341,IDA Credit,324120000.0,444000000.0,IDA,USD,World Bank Group,P172341
P172341,National Government,3412000000.0,3412000000.0,NATB,USD,Local Contributor,P172341
P172341,IDA Grant,259880000.0,356000000.0,IDAT,USD,World Bank Group,P172341
P173506,Green Climate Fund,34000000.0,34000000.0,GCF,USD,Trust Funds,P173506
P173506,IDA Credit,300000000.0,300000000.0,IDA,USD,World Bank Group,P173506
P173506,IDA Grant,300000000.0,300000000.0,IDAT,USD,World Bank Group,P173506
P175834,IDA Credit,250000000.0,250000000.0,IDA,USD,World Bank Group,P175834
P176215,IDA Credit,100000000.0,100000000.0,IDA,USD,World Bank Group,P176215
P176215,IDA Grant,100000000.0,100000000.0,IDAT,USD,World Bank Group,P176215
P178176,IDA Credit,150000000.0,150000000.0,IDA,USD,World Bank Group,P178176
P178176,IDA Grant,150000000.0,150000000.0,IDAT,USD,World Bank Group,P178176
P178389,IDA Credit,400000000.0,400000000.0,IDA,USD,World Bank Group,P178389
P178642,Energy Sector Management Assistance Program,10000000.0,10000000.0,ESMP,USD,Trust Funds,P178642
P178642,IDA Credit,290000000.0,290000000.0,IDA,USD,World Bank Group,P178642
P178684,IDA Credit,400000000.0,400000000.0,IDA,USD,World Bank Group,P178684
P178816,Global Agriculture and Food Security Program,9000000.0,9000000.0,GAFS,USD,Trust Funds,P178816
P178816,IDA Credit,25000000.0,25000000.0,IDA,USD,World Bank Group,P178816
P178816,IDA Grant,25000000.0,25000000.0,IDAT,USD,World Bank Group,P178816
P179292,IDA Credit,100000000.0,100000000.0,IDA,USD,World Bank Group,P179292
P180495,FRANCE: French Agency for Development,110000000.0,110000000.0,FRDE,USD,Bilateral Agency,P180495
P180495,IDA Credit,400000000.0,400000000.0,IDA,USD,World Bank Group,P180495
P181063,Global Partnership for Education Fund,67000000.0,67000000.0,GPEF,USD,Trust Funds,P181063
P504532,IDA Credit,250000000.0,250000000.0,IDA,USD,World Bank Group,P504532
P506438,IDA Credit,150000000.0,150000000.0,IDA,USD,World Bank Group,P506438
P506438,IDA Shorter Maturity Loan (SML),100000000.0,100000000.0,IDAM,USD,World Bank Group,P506438
P506815,IDA Credit,115200000.0,115200000.0,IDA,USD,World Bank Group,P506815
P506815,IDA Shorter Maturity Loan (SML),225000000.0,225000000.0,IDAM,USD,World Bank Group,P506815
P506815,IDA Grant,100000000.0,100000000.0,IDAT,USD,World Bank Group,P506815
P507861,IDA Credit,400000000.0,400000000.0,IDA,USD,World Bank Group,P507861
P507861,IDA Shorter Maturity Loan (SML),200000000.0,200000000.0,IDAM,USD,World Bank Group,P507861
P508410,IDA Credit,200000000.0,200000000.0,IDA,USD,World Bank Group,P508410
