Project ID,Level 1,Percentage 1,Level 2,Percentage 2,Level 3,Percentage 3,id_norm
P178642,> FY17 - Environment and Natural Resource Management,86.0,> FY17 - Renewable Natural Resources Asset Management,87.0,FY17 - Forests Policies and institutions,87.0,P178642
P178642,FY17 - Human Development and Gender,12.0,,,,,P178642
P178642,> FY17 - Human Development and Gender,12.0,FY17 - Gender,12.0,,,P178642
P178642,FY17 - Social Development and Protection,20.0,,,,,P178642
P178642,> FY17 - Social Development and Protection,20.0,FY17 - Social Inclusion,20.0,,,P178642
P178642,> FY17 - Social Development and Protection,20.0,> FY17 - Social Inclusion,20.0,FY17 - Indigenous People and Ethnic Minorities,20.0,P178642
P178642,FY17 - Urban and Rural Development,17.0,,,,,P178642
P178642,> FY17 - Urban and Rural Development,17.0,FY17 - Disaster Risk Management,17.0,,,P178642
P178642,> FY17 - Urban and Rural Development,17.0,> FY17 - Disaster Risk Management,17.0,FY17 - Flood and Drought Risk Management,17.0,P178642
P178642,> FY17 - Urban and Rural Development,17.0,FY17 - Rural Development,79.0,,,P178642
P178642,> FY17 - Urban and Rural Development,17.0,> FY17 - Rural Development,79.0,FY17 - Geospatial Services,12.0,P178642
P178642,> FY17 - Urban and Rural Development,17.0,> FY17 - Rural Development,79.0,FY17 - Land Administration and Management,15.0,P178642
P178642,> FY17 - Urban and Rural Development,17.0,> FY17 - Rural Development,79.0,FY17 - Land Policy and Tenure,12.0,P178642
P178642,> FY17 - Urban and Rural Development,17.0,> FY17 - Rural Development,79.0,FY17 - Rural Infrastructure and service delivery,21.0,P178642
P178642,> FY17 - Urban and Rural Development,17.0,> FY17 - Rural Development,79.0,FY17 - Rural Markets,74.0,P178642
P178684,FY17 - Environment and Natural Resource Management,6.0,,,,,P178684
P178684,> FY17 - Environment and Natural Resource Management,6.0,FY17 - Climate change,6.0,,,P178684
P178684,> FY17 - Environment and Natural Resource Management,6.0,> FY17 - Climate change,6.0,FY17 - Adaptation,3.0,P178684
P178684,> FY17 - Environment and Natural Resource Management,6.0,> FY17 - Climate change,6.0,FY17 - Mitigation,3.0,P178684
P178684,> FY17 - Environment and Natural Resource Management,6.0,FY17 - Environmental policies and institutions,10.0,,,P178684
P178684,FY17 - Human Development and Gender,100.0,,,,,P178684
P178684,> FY17 - Human Development and Gender,100.0,FY17 - Education,100.0,,,P178684
P178684,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,FY17 - Access to Education,56.0,P178684
P178684,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,FY17 - Education Facilities,41.0,P178684
P178684,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,FY17 - Education Financing,100.0,P178684
P178684,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,"FY17 - Education Governance, School-Based Management",21.0,P178684
P178684,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,FY17 - Science and Technology,39.0,P178684
P178684,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,"FY17 - Standards, Curriculum and Textbooks",48.0,P178684
P178684,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,FY17 - Student Assessment,26.0,P178684
P178684,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,FY17 - Teachers,65.0,P178684
P178684,> FY17 - Human Development and Gender,100.0,FY17 - Gender,32.0,,,P178684
P178684,FY17 - Private Sector Development,26.0,,,,,P178684
P178684,> FY17 - Private Sector Development,26.0,FY17 - ICT,26.0,,,P178684
P178684,> FY17 - Private Sector Development,26.0,> FY17 - ICT,26.0,FY17 - ICT Policies,26.0,P178684
P178684,FY17 - Social Development and Protection,10.0,,,,,P178684
P178684,> FY17 - Social Development and Protection,10.0,FY17 - Social Inclusion,10.0,,,P178684
P178684,> FY17 - Social Development and Protection,10.0,> FY17 - Social Inclusion,10.0,FY17 - Participation and Civic Engagement,10.0,P178684
P178684,> FY17 - Social Development and Protection,10.0,FY17 - Social Protection,39.0,,,P178684
P178684,> FY17 - Social Development and Protection,10.0,> FY17 - Social Protection,39.0,FY17 - Disability,39.0,P178684
P178684,FY17 - Urban and Rural Development,39.0,,,,,P178684
P178684,> FY17 - Urban and Rural Development,39.0,FY17 - Disaster Risk Management,39.0,,,P178684
P178684,> FY17 - Urban and Rural Development,39.0,> FY17 - Disaster Risk Management,39.0,FY17 - Flood and Drought Risk Management,39.0,P178684
P178816,FY17 - Environment and Natural Resource Management,3.0,,,,,P178816
P178816,> FY17 - Environment and Natural Resource Management,3.0,FY17 - Climate change,3.0,,,P178816
P178816,> FY17 - Environment and Natural Resource Management,3.0,> FY17 - Climate change,3.0,FY17 - Adaptation,3.0,P178816
P178816,FY17 - Human Development and Gender,100.0,,,,,P178816
P178816,> FY17 - Human Development and Gender,100.0,FY17 - Health Systems and Policies,100.0,,,P178816
P178816,> FY17 - Human Development and Gender,100.0,> FY17 - Health Systems and Policies,100.0,FY17 - Child Health,100.0,P178816
P178816,> FY17 - Human Development and Gender,100.0,> FY17 - Health Systems and Policies,100.0,FY17 - Health Service Delivery,100.0,P178816
P178816,> FY17 - Human Development and Gender,100.0,FY17 - Nutrition and Food Security,100.0,,,P178816
P178816,> FY17 - Human Development and Gender,100.0,> FY17 - Nutrition and Food Security,100.0,FY17 - Nutrition,100.0,P178816
P179292,FY17 - Environment and Natural Resource Management,63.0,,,,,P179292
P179292,> FY17 - Environment and Natural Resource Management,63.0,FY17 - Climate change,63.0,,,P179292
P179292,> FY17 - Environment and Natural Resource Management,63.0,> FY17 - Climate change,63.0,FY17 - Adaptation,56.0,P179292
P179292,> FY17 - Environment and Natural Resource Management,63.0,> FY17 - Climate change,63.0,FY17 - Mitigation,6.0,P179292
P179292,FY17 - Private Sector Development,85.0,,,,,P179292
P179292,> FY17 - Private Sector Development,85.0,FY17 - Jobs,85.0,,,P179292
P179292,> FY17 - Private Sector Development,85.0,> FY17 - Jobs,85.0,FY17 - Job Creation,85.0,P179292
P179292,FY17 - Urban and Rural Development,100.0,,,,,P179292
P179292,> FY17 - Urban and Rural Development,100.0,FY17 - Disaster Risk Management,100.0,,,P179292
P179292,> FY17 - Urban and Rural Development,100.0,> FY17 - Disaster Risk Management,100.0,FY17 - Disaster Preparedness,100.0,P179292
P179292,> FY17 - Urban and Rural Development,100.0,> FY17 - Disaster Risk Management,100.0,FY17 - Flood and Drought Risk Management,75.0,P179292
P179292,> FY17 - Urban and Rural Development,100.0,FY17 - Urban Development,100.0,,,P179292
P179292,> FY17 - Urban and Rural Development,100.0,> FY17 - Urban Development,100.0,FY17 - Urban Infrastructure and Service Delivery,100.0,P179292
P179292,> FY17 - Urban and Rural Development,100.0,> FY17 - Urban Development,100.0,FY17 - Urban Planning,100.0,P179292
P180495,FY17 - Environment and Natural Resource Management,72.0,,,,,P180495
P180495,> FY17 - Environment and Natural Resource Management,72.0,FY17 - Climate change,72.0,,,P180495
P180495,> FY17 - Environment and Natural Resource Management,72.0,> FY17 - Climate change,72.0,FY17 - Adaptation,7.0,P180495
P180495,> FY17 - Environment and Natural Resource Management,72.0,> FY17 - Climate change,72.0,FY17 - Mitigation,65.0,P180495
P180495,FY17 - Human Development and Gender,14.0,,,,,P180495
P180495,> FY17 - Human Development and Gender,14.0,FY17 - Labor Market Policy and Programs,14.0,,,P180495
P180495,> FY17 - Human Development and Gender,14.0,> FY17 - Labor Market Policy and Programs,14.0,FY17 - Skills Development,14.0,P180495
P180495,FY17 - Private Sector Development,14.0,,,,,P180495
P180495,> FY17 - Private Sector Development,14.0,FY17 - Enterprise Development,14.0,,,P180495
P180495,> FY17 - Private Sector Development,14.0,> FY17 - Enterprise Development,14.0,FY17 - Entrepreneurship,14.0,P180495
P180495,> FY17 - Private Sector Development,14.0,FY17 - ICT,100.0,,,P180495
P180495,> FY17 - Private Sector Development,14.0,> FY17 - ICT,100.0,FY17 - ICT Policies,100.0,P180495
P180495,> FY17 - Private Sector Development,14.0,> FY17 - ICT,100.0,FY17 - ICT Solutions,100.0,P180495
P180495,> FY17 - Private Sector Development,14.0,FY17 - Jobs,14.0,,,P180495
P180495,> FY17 - Private Sector Development,14.0,> FY17 - Jobs,14.0,FY17 - Youth Employment,14.0,P180495
P180495,> FY17 - Private Sector Development,14.0,FY17 - Public Private Partnerships,14.0,,,P180495
P180495,FY17 - Public Sector Management,16.0,,,,,P180495
P180495,> FY17 - Public Sector Management,16.0,FY17 - Public Administration,16.0,,,P180495
P180495,> FY17 - Public Sector Management,16.0,> FY17 - Public Administration,16.0,FY17 - Civil Registration and Identification,16.0,P180495
P180495,> FY17 - Public Sector Management,16.0,> FY17 - Public Administration,16.0,"FY17 - E-Government, incl. e-services",16.0,P180495
P180495,FY17 - Urban and Rural Development,80.0,,,,,P180495
P180495,> FY17 - Urban and Rural Development,80.0,FY17 - Rural Development,80.0,,,P180495
P180495,> FY17 - Urban and Rural Development,80.0,> FY17 - Rural Development,80.0,FY17 - Rural Infrastructure and service delivery,80.0,P180495
P181063,FY17 - Environment and Natural Resource Management,49.0,,,,,P181063
P181063,> FY17 - Environment and Natural Resource Management,49.0,FY17 - Climate change,49.0,,,P181063
P181063,> FY17 - Environment and Natural Resource Management,49.0,> FY17 - Climate change,49.0,FY17 - Adaptation,25.0,P181063
P181063,> FY17 - Environment and Natural Resource Management,49.0,> FY17 - Climate change,49.0,FY17 - Mitigation,25.0,P181063
P181063,FY17 - Human Development and Gender,100.0,,,,,P181063
P181063,> FY17 - Human Development and Gender,100.0,FY17 - Education,100.0,,,P181063
P181063,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,FY17 - Access to Education,70.0,P181063
P181063,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,FY17 - Education Facilities,79.0,P181063
P181063,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,FY17 - Education Financing,100.0,P181063
P181063,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,"FY17 - Standards, Curriculum and Textbooks",63.0,P181063
P181063,> FY17 - Human Development and Gender,100.0,> FY17 - Education,100.0,FY17 - Teachers,70.0,P181063
P181063,> FY17 - Human Development and Gender,100.0,FY17 - Gender,100.0,,,P181063
P181063,FY17 - Urban and Rural Development,37.0,,,,,P181063
P181063,> FY17 - Urban and Rural Development,37.0,FY17 - Disaster Risk Management,37.0,,,P181063
P181063,> FY17 - Urban and Rural Development,37.0,> FY17 - Disaster Risk Management,37.0,FY17 - Disaster Risk Reduction,37.0,P181063
P504532,FY17 - Environment and Natural Resource Management,45.0,,,,,P504532
P504532,> FY17 - Environment and Natural Resource Management,45.0,FY17 - Climate change,45.0,,,P504532
P504532,> FY17 - Environment and Natural Resource Management,45.0,> FY17 - Climate change,45.0,FY17 - Adaptation,41.0,P504532
P504532,> FY17 - Environment and Natural Resource Management,45.0,> FY17 - Climate change,45.0,FY17 - Mitigation,4.0,P504532
P504532,FY17 - Human Development and Gender,63.0,,,,,P504532
P504532,> FY17 - Human Development and Gender,63.0,FY17 - Disease Control,63.0,,,P504532
P504532,> FY17 - Human Development and Gender,63.0,> FY17 - Disease Control,63.0,FY17 - Non-communicable diseases,63.0,P504532
P504532,> FY17 - Human Development and Gender,63.0,FY17 - Gender,81.0,,,P504532
P504532,> FY17 - Human Development and Gender,63.0,FY17 - Health Systems and Policies,100.0,,,P504532
P504532,> FY17 - Human Development and Gender,63.0,> FY17 - Health Systems and Policies,100.0,FY17 - Adolescent Health,37.0,P504532
P504532,> FY17 - Human Development and Gender,63.0,> FY17 - Health Systems and Policies,100.0,FY17 - Child Health,37.0,P504532
P504532,> FY17 - Human Development and Gender,63.0,> FY17 - Health Systems and Policies,100.0,FY17 - Health Finance,24.0,P504532
P504532,> FY17 - Human Development and Gender,63.0,> FY17 - Health Systems and Policies,100.0,FY17 - Health Service Delivery,36.0,P504532
P504532,> FY17 - Human Development and Gender,63.0,> FY17 - Health Systems and Policies,100.0,FY17 - Health System Strengthening,89.0,P504532
P504532,> FY17 - Human Development and Gender,63.0,> FY17 - Health Systems and Policies,100.0,FY17 - Reproductive and Maternal Health,37.0,P504532
P504532,FY17 - Private Sector Development,12.0,,,,,P504532
P504532,> FY17 - Private Sector Development,12.0,FY17 - ICT,12.0,,,P504532
P504532,> FY17 - Private Sector Development,12.0,> FY17 - ICT,12.0,FY17 - ICT Solutions,12.0,P504532
P504532,FY17 - Social Development and Protection,15.0,,,,,P504532
P504532,> FY17 - Social Development and Protection,15.0,FY17 - Social Inclusion,15.0,,,P504532
P504532,> FY17 - Social Development and Protection,15.0,> FY17 - Social Inclusion,15.0,FY17 - Participation and Civic Engagement,15.0,P504532
P504532,FY17 - Urban and Rural Development,24.0,,,,,P504532
P504532,> FY17 - Urban and Rural Development,24.0,FY17 - Disaster Risk Management,24.0,,,P504532
P504532,> FY17 - Urban and Rural Development,24.0,> FY17 - Disaster Risk Management,24.0,FY17 - Disaster Preparedness,19.0,P504532
P504532,> FY17 - Urban and Rural Development,24.0,> FY17 - Disaster Risk Management,24.0,FY17 - Disaster Response and Recovery,7.0,P504532
P504532,> FY17 - Urban and Rural Development,24.0,FY17 - Rural Development,79.0,,,P504532
P504532,> FY17 - Urban and Rural Development,24.0,> FY17 - Rural Development,79.0,FY17 - Rural Infrastructure and service delivery,79.0,P504532
P506438,Disaster Risk Management,78.0,,,,,P506438
P506438,> Disaster Risk Management,78.0,Disaster Preparedness and Response,78.0,,,P506438
P506438,"Environment, Infrastructure, and Natural Resource Management",100.0,,,,,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,Climate Change,37.0,,,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,> Climate Change,37.0,Adaptation,8.0,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,> Climate Change,37.0,Mitigation,28.0,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,Ecosystem Management,22.0,,,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,> Ecosystem Management,22.0,Biodiversity,22.0,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,Energy and Mineral Resources,100.0,,,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,> Energy and Mineral Resources,100.0,Enabling Renewable Energy,67.0,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,> Energy and Mineral Resources,100.0,Energy Access-Electricity,67.0,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,> Energy and Mineral Resources,100.0,Energy Efficient Demand,27.0,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,> Energy and Mineral Resources,100.0,Energy Efficient Supply,27.0,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,> Energy and Mineral Resources,100.0,Energy and Mining Policies & Reform,100.0,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,> Energy and Mineral Resources,100.0,Just Transition in non-Coal Sectors,27.0,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,Environmental Policies and Institutions,22.0,,,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,Water Storage,49.0,,,P506438
P506438,"> Environment, Infrastructure, and Natural Resource Management",100.0,> Water Storage,49.0,Dams,49.0,P506438
P506438,Gender,67.0,,,,,P506438
P506438,> Gender,67.0,Economic Opportunities to Advance Gender Equality,67.0,,,P506438
P506438,> Gender,67.0,Gender-Based Violence,40.0,,,P506438
P506438,Governance and Public Sector Management,22.0,,,,,P506438
P506438,> Governance and Public Sector Management,22.0,GovTech,22.0,,,P506438
P506438,> Governance and Public Sector Management,22.0,> GovTech,22.0,Citizen Engagement,22.0,P506438
P506438,Human Development,40.0,,,,,P506438
P506438,> Human Development,40.0,Labor Markets Policy and Programs,40.0,,,P506438
P506438,> Human Development,40.0,> Labor Markets Policy and Programs,40.0,Active Labor Markets Programs,35.0,P506438
P506438,> Human Development,40.0,> Labor Markets Policy and Programs,40.0,Skills Development,40.0,P506438
P506438,Jobs,40.0,,,,,P506438
P506438,> Jobs,40.0,Increasing Labor Productivity,33.0,,,P506438
P506438,> Jobs,40.0,Job creation,40.0,,,P506438
P506438,Urban Development and Land Administration / Management,27.0,,,,,P506438
P506438,> Urban Development and Land Administration / Management,27.0,Urban Infrastructure and Service Delivery,27.0,,,P506438
P506438,> Urban Development and Land Administration / Management,27.0,Urban Land Administration and Management,27.0,,,P506438
P506815,Digital Transformation,85.0,,,,,P506815
P506815,> Digital Transformation,85.0,Broadband Connectivity,85.0,,,P506815
P506815,> Digital Transformation,85.0,> Broadband Connectivity,85.0,Digital Device Access for All,85.0,P506815
P506815,"Environment, Infrastructure, and Natural Resource Management",98.0,,,,,P506815
P506815,"> Environment, Infrastructure, and Natural Resource Management",98.0,Climate Change,54.0,,,P506815
P506815,"> Environment, Infrastructure, and Natural Resource Management",98.0,> Climate Change,54.0,Adaptation,53.0,P506815
P506815,"> Environment, Infrastructure, and Natural Resource Management",98.0,> Climate Change,54.0,Mitigation,2.0,P506815
P506815,"> Environment, Infrastructure, and Natural Resource Management",98.0,Climate-Smart Agriculture,9.0,,,P506815
P506815,"> Environment, Infrastructure, and Natural Resource Management",98.0,Ecosystem Management,12.0,,,P506815
P506815,"> Environment, Infrastructure, and Natural Resource Management",98.0,> Ecosystem Management,12.0,Nature-Based Solutions,12.0,P506815
P506815,"> Environment, Infrastructure, and Natural Resource Management",98.0,Green Logistics and Freight Infrastructure,85.0,,,P506815
P506815,"> Environment, Infrastructure, and Natural Resource Management",98.0,Resilient Transport,98.0,,,P506815
P506815,"Fragility, Conflict, and Violence",10.0,,,,,P506815
P506815,"> Fragility, Conflict, and Violence",10.0,Prevention and Transition,10.0,,,P506815
P506815,Gender,17.0,,,,,P506815
P506815,> Gender,17.0,Economic Opportunities to Advance Gender Equality,17.0,,,P506815
P506815,> Gender,17.0,Gender-Based Violence,10.0,,,P506815
P506815,Jobs,10.0,,,,,P506815
P506815,> Jobs,10.0,Working Conditions,10.0,,,P506815
P506815,Private Sector Development,10.0,,,,,P506815
P506815,> Private Sector Development,10.0,Public Private Partnerships,10.0,,,P506815
P506815,Rural Development,12.0,,,,,P506815
P506815,> Rural Development,12.0,Rural Infrastructure and Service Delivery,12.0,,,P506815
P506815,> Rural Development,12.0,Rural Markets,9.0,,,P506815
P506815,Urban Development and Land Administration / Management,97.0,,,,,P506815
P506815,> Urban Development and Land Administration / Management,97.0,Public Transport,90.0,,,P506815
P506815,> Urban Development and Land Administration / Management,97.0,Road Safety,97.0,,,P506815
P507861,"Environment, Infrastructure, and Natural Resource Management",20.0,,,,,P507861
P507861,"> Environment, Infrastructure, and Natural Resource Management",20.0,Climate Change,10.0,,,P507861
P507861,"> Environment, Infrastructure, and Natural Resource Management",20.0,> Climate Change,10.0,Mitigation,10.0,P507861
P507861,"> Environment, Infrastructure, and Natural Resource Management",20.0,Energy and Mineral Resources,20.0,,,P507861
P507861,"> Environment, Infrastructure, and Natural Resource Management",20.0,> Energy and Mineral Resources,20.0,Enabling Renewable Energy,20.0,P507861
P507861,"> Environment, Infrastructure, and Natural Resource Management",20.0,> Energy and Mineral Resources,20.0,Energy Access-Clean Cooking,10.0,P507861
P507861,"> Environment, Infrastructure, and Natural Resource Management",20.0,> Energy and Mineral Resources,20.0,Energy Access-Electricity,10.0,P507861
P507861,"> Environment, Infrastructure, and Natural Resource Management",20.0,> Energy and Mineral Resources,20.0,Energy and Mining Policies & Reform,10.0,P507861
P507861,"> Environment, Infrastructure, and Natural Resource Management",20.0,Environmental Policies and Institutions,10.0,,,P507861
P507861,"> Environment, Infrastructure, and Natural Resource Management",20.0,> Environmental Policies and Institutions,10.0,Pollution Policies and Institutions,10.0,P507861
P507861,"Fragility, Conflict, and Violence",10.0,,,,,P507861
P507861,"> Fragility, Conflict, and Violence",10.0,Conflict and Violence,10.0,,,P507861
P507861,Gender,10.0,,,,,P507861
P507861,> Gender,10.0,Gender-Based Violence,10.0,,,P507861
P507861,> Gender,10.0,Women's Leadership and Decision Making,10.0,,,P507861
P507861,Governance and Public Sector Management,30.0,,,,,P507861
P507861,> Governance and Public Sector Management,30.0,Justice and Rule of Law,20.0,,,P507861
P507861,> Governance and Public Sector Management,30.0,> Justice and Rule of Law,20.0,Judicial and other Dispute Resolution Mechanisms,20.0,P507861
P507861,> Governance and Public Sector Management,30.0,> Justice and Rule of Law,20.0,Personal and Property Rights,10.0,P507861
P507861,> Governance and Public Sector Management,30.0,Public Finance Management,30.0,,,P507861
P507861,> Governance and Public Sector Management,30.0,> Public Finance Management,30.0,Budget and Treasury Management,10.0,P507861
P507861,> Governance and Public Sector Management,30.0,> Public Finance Management,30.0,Domestic Revenue Administration,10.0,P507861
P507861,> Governance and Public Sector Management,30.0,> Public Finance Management,30.0,Procurement,10.0,P507861
P507861,> Governance and Public Sector Management,30.0,> Public Finance Management,30.0,Public Expenditure Management,20.0,P507861
P507861,> Governance and Public Sector Management,30.0,Public Institutions,30.0,,,P507861
P507861,> Governance and Public Sector Management,30.0,> Public Institutions,30.0," Anticorruption, Transparency, and Political Economy",10.0,P507861
P507861,> Governance and Public Sector Management,30.0,> Public Institutions,30.0," Public Administration, Compensation, and Management",20.0,P507861
P507861,> Governance and Public Sector Management,30.0,> Public Institutions,30.0,State-Owned Enterprise Reform,10.0,P507861
P507861,Private Sector Development,10.0,,,,,P507861
P507861,> Private Sector Development,10.0,Business Enabling Environment,10.0,,,P507861
P507861,> Private Sector Development,10.0,> Business Enabling Environment,10.0," Investment Policy, Promotion, and Facilitation",10.0,P507861
P507861,> Private Sector Development,10.0,Public Private Partnerships,10.0,,,P507861
P507861,> Private Sector Development,10.0,> Public Private Partnerships,10.0,PPP Framework,10.0,P507861
P508410,Disaster Risk Management,100.0,,,,,P508410
P508410,> Disaster Risk Management,100.0,Disaster Preparedness and Response,100.0,,,P508410
P508410,> Disaster Risk Management,100.0,Disaster Risk Information and Decision-Support Systems,100.0,,,P508410
P508410,> Disaster Risk Management,100.0,Disaster Risk Management Governance,100.0,,,P508410
P508410,> Disaster Risk Management,100.0,Disaster Risk Reduction,100.0,,,P508410
P508410,> Disaster Risk Management,100.0,Post-Disaster Recovery and Reconstruction,100.0,,,P508410
P508410,"Environment, Infrastructure, and Natural Resource Management",88.0,,,,,P508410
P508410,"> Environment, Infrastructure, and Natural Resource Management",88.0,Climate Change,88.0,,,P508410
P508410,"> Environment, Infrastructure, and Natural Resource Management",88.0,> Climate Change,88.0,Adaptation,88.0,P508410
P508410,"> Environment, Infrastructure, and Natural Resource Management",88.0,Ecosystem Management,85.0,,,P508410
P508410,"> Environment, Infrastructure, and Natural Resource Management",88.0,> Ecosystem Management,85.0,Nature-Based Solutions,85.0,P508410
P508410,Gender,25.0,,,,,P508410
P508410,> Gender,25.0,Gender-Based Violence,25.0,,,P508410
P508410,Social Sustainability,100.0,,,,,P508410
P508410,> Social Sustainability,100.0,Community and Local Development Policy and Programs,100.0,,,P508410
P508410,> Social Sustainability,100.0,> Community and Local Development Policy and Programs,100.0,Community and Local Infrastructure and Service Delivery,100.0,P508410
P508410,Urban Development and Land Administration / Management,85.0,,,,,P508410
P508410,> Urban Development and Land Administration / Management,85.0,Urban Infrastructure and Service Delivery,85.0,,,P508410
P508410,> Urban Development and Land Administration / Management,85.0,Urban Planning,25.0,,,P508410
